ID,date,timeperiod,purpose,origin_type,access_mode,access_walk_dist,dest_type,egress_mode,egress_walk_dist,fare_type_clean,orca_emp_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,hhsize_clean,income_clean
LE25296,"Monday, November 2, 2015",2,3,1,1,1.00,99,1,2.00,#NULL!,#NULL!,1,#NULL!,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10
LE25298,"Monday, November 2, 2015",2,2,4,1,4.00,2,1,#NULL!,5,#NULL!,1,15,15,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2
LE25401,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,1,#NULL!,3,2,1,35,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6
LE25402,"Monday, November 2, 2015",2,1,1,1,2.00,2,3,#NULL!,3,2,1,44,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9
LE25403,"Monday, November 2, 2015",2,3,5,1,9.00,99,1,2.00,7,#NULL!,1,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1
LE25404,"Monday, November 2, 2015",2,1,1,1,1.50,2,1,5.00,1,1,1,40,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE25409,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,1,#NULL!,#NULL!,#NULL!,#NULL!,2,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7
LE25410,"Monday, November 2, 2015",2,1,1,1,1.50,2,1,1.50,1,1,1,20,#NULL!,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,9
LE25411,"Monday, November 2, 2015",2,1,2,3,#NULL!,1,1,#NULL!,1,2,1,20,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,10
LE25412,"Monday, November 2, 2015",2,#NULL!,#NULL!,1,4.50,2,3,#NULL!,3,2,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10
LE25414,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,1,#NULL!,3,2,1,40,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10
LE25438,"Monday, November 2, 2015",2,2,2,1,10.00,5,1,5.00,1,2,#NULL!,10,#NULL!,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
LE25440,"Monday, November 2, 2015",2,1,1,99,#NULL!,2,1,2.50,3,2,3,20,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9
LE25441,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,1,#NULL!,1,2,1,26,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25444,"Monday, November 2, 2015",2,1,1,1,0.00,2,1,4.50,9,#NULL!,1,20,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
LE25446,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,1,#NULL!,1,2,1,22,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE25447,"Monday, November 2, 2015",2,1,1,1,1.00,2,3,#NULL!,1,1,1,30,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE25453,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,3,#NULL!,3,2,1,15,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE25454,"Monday, November 2, 2015",2,1,1,1,7.00,2,1,10.00,5,1,1,35,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10
LE25457,"Monday, November 2, 2015",2,3,1,1,3.00,99,1,10.00,1,1,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,11
LE25458,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,2,#NULL!,1,2,1,20,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8
LE25461,"Monday, November 2, 2015",2,1,1,1,#NULL!,2,1,#NULL!,1,2,4,10,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
LE25468,"Monday, November 2, 2015",2,1,2,1,2.00,1,1,#NULL!,1,2,#NULL!,60,#NULL!,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4
LE25526,"Monday, November 2, 2015",2,1,1,1,2.00,2,1,2.00,3,2,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10
LE25527,"Monday, November 2, 2015",2,1,1,1,3.00,2,1,#NULL!,1,1,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10
LE25566,"Monday, November 2, 2015",3,3,1,1,4.00,5,1,#NULL!,1,1,1,10,20,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25567,"Monday, November 2, 2015",3,1,1,1,3.00,2,3,#NULL!,1,1,1,20,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6
LE25568,"Monday, November 2, 2015",3,1,2,3,#NULL!,1,1,#NULL!,1,1,3,20,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10
LE25569,"Monday, November 2, 2015",3,1,1,1,#NULL!,2,1,#NULL!,1,#NULL!,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25571,"Monday, November 2, 2015",3,2,99,1,8.00,2,3,#NULL!,3,2,1,1,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
LE25572,"Monday, November 2, 2015",3,1,2,3,#NULL!,1,1,3.00,1,1,1,#NULL!,#NULL!,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
LE25573,"Monday, November 2, 2015",3,1,1,3,#NULL!,2,3,#NULL!,1,1,1,24,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25574,"Monday, November 2, 2015",3,1,1,4,#NULL!,2,2,#NULL!,#NULL!,#NULL!,1,2,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8
LE25577,"Monday, November 2, 2015",3,2,99,1,#NULL!,2,1,7.00,3,1,1,25,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,#NULL!
LE25578,"Monday, November 2, 2015",3,3,1,1,#NULL!,99,1,#NULL!,1,1,1,3,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7
LE25580,"Monday, November 2, 2015",3,1,2,1,4.00,1,4,#NULL!,1,2,1,20,#NULL!,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#NULL!,6
